순위,위치,학교명,위도,경도
110,은평구 진관동,진관중학교,37.64425564,126.9257277
111,강북구 미아동,삼각산중학교,37.61614897,127.0145684
112,종로구 동숭동,서울대학교사범대학부설여자중학교,37.5775997,127.0042955
113,도봉구 쌍문동,정의여자중학교,37.65335584,127.0324273
114,영등포구 문래동3가,양화중학교,37.5196596,126.8959945
115,성북구 삼선동2가,한성여자중학교,37.5830649,127.0117427
116,동작구 사당동,상도중학교,37.4909219,126.9614756
117,송파구 문정동,문정중학교,37.48848095,127.1300209
118,중구 신당동,금호여자중학교,,
119,양천구 신정동,금옥중학교,37.51096532,126.8439717
120,도봉구 창동,창일중학교,37.64898751,127.0469136
121,용산구 서빙고동,한강중학교,37.52361192,126.9927909
122,동작구 대방동,성남중학교,37.50528157,126.9266153
123,성북구 돈암동,고명중학교,37.59767468,127.0191869
124,강남구 논현동,언북중학교,37.51942855,127.0331263
125,노원구 하계동,하계중학교,37.64136991,127.0723336
126,영등포구 당산동6가,당산중학교,37.53203308,126.907614
127,마포구 신수동,신수중학교,37.545923,126.934132
128,송파구 가락동,석촌중학교,37.50145499,127.1211174
129,노원구 월계동,녹천중학교,37.63108361,127.0617375
130,마포구 염리동,동도중학교,37.54670177,126.9469053
131,강동구 천호동,성덕여자중학교,37.54996367,127.1419039
132,노원구 상계동,청원중학교,37.66525155,127.0625329
133,강서구 방화동,삼정중학교,37.5814869,126.8106015
134,도봉구 방학동,신방학중학교,37.66414043,127.028899
135,강남구 신사동,신구중학교,37.52744229,127.0316727
136,송파구 풍납동,풍성중학교,37.52543858,127.1128839
137,관악구 봉천동,구암중학교,37.492775,126.948602
138,성북구 동소문동1가,삼선중학교,37.59174763,127.0078716
139,성동구 성수동1가,성수중학교,37.54734181,127.0382534
140,구로구 오류동,오남중학교,37.48705969,126.837249
141,송파구 풍납동,풍납중학교,37.525365,127.1156283
142,관악구 봉천동,서울문영여자중학교,37.47290457,126.9509181
143,강동구 성내동,성내중학교,37.52906191,127.1291173
144,강서구 등촌동,등명중학교,37.56019335,126.8433041
145,강동구 둔촌동,동북중학교,37.52024061,127.1394507
146,송파구 거여동,거원중학교,37.48772386,127.1465491
147,노원구 상계동,상원중학교,37.67176621,127.059504
148,송파구 오금동,세륜중학교,37.50893314,127.1312464
149,중구 신당동,한양중학교,37.5658716,127.0114433
150,영등포구 문래동6가,문래중학교,37.52041829,126.8841404
151,마포구 신수동,광성중학교,37.54869756,126.9359696
152,영등포구 양평동3가,선유중학교,37.53328647,126.894329
153,중구 정동,창덕여자중학교,37.5664328,126.9692102
154,노원구 공릉동,한천중학교,37.63131395,127.072468
155,서대문구 북아현동,중앙여자중학교,37.56317672,126.9540593
156,송파구 송파동,일신여자중학교,37.501777,127.1142413
157,광진구 자양동,자양중학교,37.53539805,127.074384
158,구로구 구로동,구일중학교,37.49530091,126.8737702
159,성북구 종암동,서울대학교사범대학부설중학교,37.59582047,127.0391333
160,양천구 목동,영도중학교,37.53631557,126.8657711
161,노원구 공릉동,공릉중학교,37.62222778,127.0836019
162,성동구 행당동,무학중학교,37.55768336,127.0319746
163,서초구 우면동,영동중학교,37.46598629,127.0251408
164,동대문구 전농동,전농중학교,37.58204428,127.0592794
165,동작구 흑석동,중앙대학교사범대학부속중학교,37.50362942,126.9617326
166,노원구 상계동,수락중학교,37.68314469,127.0548083
167,용산구 청파동3가,신광여자중학교,37.54289988,126.9694475
168,중구 신당동,대경중학교,37.55637326,127.0169792
169,금천구 시흥동,동일중학교,37.45193626,126.9158199
170,강동구 길동,신명중학교,37.54181449,127.1492919
171,강남구 수서동,수서중학교,37.49120377,127.1023799
172,서대문구 연희동,연북중학교,37.577581,126.9384801
173,중구 신당동,장충중학교,37.5535149,127.006415
174,강동구 강일동,강명중학교,37.555404,127.175014
175,송파구 장지동,문현중학교,37.48058417,127.1279464
176,관악구 봉천동,인헌중학교,37.47269621,126.9688402
177,송파구 풍납동,영파여자중학교,37.53273562,127.1197395
178,동작구 본동,동양중학교,37.51022314,126.9574775
179,양천구 신월동,강신중학교,37.51513716,126.8381601
180,동대문구 신설동,대광중학교,37.57795467,127.0253235
181,성북구 정릉3동,북악중학교,37.60700905,127.0016095
182,중랑구 상봉동,상봉중학교,37.60152799,127.0901246
183,은평구 갈현동,선일여자중학교,37.62030421,126.9119931
184,강동구 암사동,신암중학교,37.55636169,127.1336043
185,동작구 신대방동,문창중학교,37.495803,126.9224055
186,성동구 성수동1가,경일중학교,37.54382982,127.0478683
187,서초구 방배동,이수중학교,37.48063003,126.9898591
188,마포구 성산동,홍익대학교사범대학부속여자중학교,37.55964474,126.9132084
189,성동구 옥수동,옥정중학교,37.54167037,127.0129832
190,동대문구 휘경동,전동중학교,37.58619359,127.0709291
191,송파구 오금동,보인중학교,37.4975692,127.1395178
192,노원구 중계동,중원중학교,37.64423868,127.0680295
193,구로구 고척동,고척중학교,37.49974083,126.8613425
194,성동구 마장동,마장중학교,37.56830949,127.042128
195,노원구 월계동,광운중학교,37.61923977,127.0565452
196,금천구 독산동,안천중학교,37.45952426,126.8874988
197,광진구 구의동,동국대학교사범대학부속여자중학교,37.54192936,127.0869731
198,동대문구 전농동,전일중학교,37.58250018,127.0583795
199,서초구 양재동,언남중학교,37.47240137,127.044281
200,강동구 상일동,상일여자중학교,,
201,관악구 신림동,삼성중학교,37.4676059,126.9425132
202,강동구 강일동,강동중학교,37.56965025,127.177836
203,강서구 등촌동,등원중학교,37.55971763,126.8516806
204,종로구 송현동,덕성여자중학교,37.57778598,126.981924
205,동작구 상도동,국사봉중학교,37.49353263,126.9440557
206,동작구 상도동,장승중학교,37.50314858,126.940834
207,노원구 중계동,재현중학교,37.661264,127.0807998
208,성북구 종암1동,종암중학교,37.593111,127.0319913
209,관악구 신림동,광신중학교,37.4644762,126.9259406
210,관악구 봉천동,봉원중학교,37.48410274,126.9588909
211,노원구 상계동,온곡중학교,37.66058142,127.0643327
212,은평구 갈현2동,대성중학교,37.62314228,126.9097907
213,은평구 구산동,예일여자중학교,37.6109459,126.9147928
214,성동구 마장동,동마중학교,37.56280251,127.0403512
215,중구 신당동,장원중학교,37.55396452,127.0060429
216,마포구 노고산동,창천중학교,37.55491782,126.9392951
217,광진구 자양동,광양중학교,37.53089134,127.0861699868
218,서대문구 충정로2가,인창중학교,37.56488513,126.9640232
219,강서구 등촌동,마포중학교,37.55998867,126.8531334
220,구로구 개봉동,경인중학교,37.49846566,126.8536725
221,강서구 방화동,방원중학교,37.57597576,126.8086174
222,서대문구 연희동,서연중학교,37.56822527,126.9273336
223,광진구 자양동,광진중학교,37.53221959,127.0901621
224,송파구 오금동,오주중학교,37.50150661,127.1362653
225,마포구 합정동,성산중학교,37.54731637,126.9165629
226,강동구 고덕동,배재중학교,37.55505939,127.1502473
227,중랑구 묵동,태릉중학교,37.61253191,127.0834356
228,강북구 수유3동,강북중학교,37.6449159,127.0253734
229,동대문구 회기동,경희중학교,37.59394914,127.054891
230,도봉구 창동,창북중학교,37.64911577,127.0388329
231,용산구 서계동,배문중학교,37.54991872,126.9639041
232,강북구 미아동,성암여자중학교,37.62041353,127.0239059
233,동작구 대방동,영등포중학교,37.5080846,126.9331435
234,은평구 불광동,불광중학교,37.62320355,126.9321291
235,마포구 성산동,성사중학교,37.5680911,126.912683
236,관악구 신림동,미성중학교,37.47538281,126.9120889
237,송파구 오금동,오금중학교,37.50527064,127.1288011
238,용산구 용산동2가,보성여자중학교,37.54308154,126.9842842
239,강북구 미아동,창문여자중학교,37.6134057,127.0357962
240,중랑구 망우동,혜원여자중학교,37.59327987,127.0970427
241,성북구 상월곡동,월곡중학교,37.60698163,127.0482588
242,마포구 아현동,아현중학교,37.55640071,126.9565000215
243,은평구 신사동,숭실중학교,37.59327482,126.9024039
244,용산구 용산동2가,용산중학교,37.546003,126.980976
245,강서구 공항동,공항중학교,37.56217751,126.8149668
246,강북구 미아동,신일중학교,37.62796722,127.028427
247,성북구 장위동,장위중학교,37.61129251,127.0408412
248,동대문구 제기동,정화여자중학교,37.58604864,127.041008
249,강동구 둔촌동,둔촌중학교,37.53083609,127.1463317
250,영등포구 영등포동,영원중학교,37.51497419,126.9136469
251,관악구 봉천동,관악중학교,37.48125828,126.9619123
252,서대문구 북아현동,한성중학교,37.55909644,126.9544565
253,노원구 월계동,염광중학교,37.630217,127.0492646
254,종로구 행촌동,대신중학교,37.573109,126.9612546
255,양천구 신월5동,신월중학교,37.54046194,126.828389
256,서대문구 남가좌동,연희중학교,37.57958728,126.9187918
257,강서구 등촌동,백석중학교,37.54829091,126.8589539
258,서대문구 홍은동,명지중학교,37.58491135,126.9270902
259,마포구 연남동,경성중학교,37.56351064,126.9191663
260,용산구 청파동3가,선린중학교,37.54296872,126.9649361
