순위,위치,학교명,위도,경도
103,송파구 풍납동,영파여자고등학교,37.53273562,127.1197395
104,양천구 신정동,신목고등학교,37.51290943,126.873607
105,성북구 길음동,계성고등학교,37.6074936,127.0201836
106,서대문구 북아현동,한성고등학교,37.55909644,126.954461
107,성동구 행당동,무학여자고등학교,37.55762633,127.0338809
108,서대문구 북아현동,중앙여자고등학교,37.56317672,126.9540593
109,노원구 하계동,혜성여자고등학교,37.64055021,127.0736197
110,중구 만리동2가,환일고등학교,37.55360652,126.9628021
111,강남구 도곡동,중앙대학교사범대학부속고등학교,37.4919059,127.0521116
112,구로구 신도림동,신도림고등학교,37.51406292,126.8820838
113,관악구 봉천동,구암고등학교,37.49244195,126.949625
114,서초구 서초동,서울고등학교,37.48429306,127.0049019
115,동작구 신대방동,수도여자고등학교,37.49280146,126.9149071
116,성북구 삼선동2가,한성여자고등학교,37.5830649,127.011784
117,노원구 상계동,청원여자고등학교,37.66525155,127.0625329
118,성북구 종암동,서울대학교사범대학부설고등학교,37.59472384,127.0381204
119,노원구 중계동,재현고등학교,37.66129064,127.0807998
120,용산구 보광동,오산고등학교,37.523505,127.0008872
121,노원구 월계동,염광고등학교,37.63028445,127.0492646
122,강서구 등촌동,영일고등학교,37.54728726,126.8620589
123,서초구 서초동,양재고등학교,37.48242164,127.0320796
124,양천구 신정동,백암고등학교,37.51219626,126.844377
125,양천구 신정동,금옥여자고등학교,37.51096532,126.8439717
126,영등포구 신길동,영등포여자고등학교,37.51538845,126.9153563
127,강남구 압구정동,청담고등학교,37.52800302,127.0437002
128,광진구 중곡동,대원여자고등학교,37.562496,127.089405
129,관악구 신림동,남강고등학교,37.47137567,126.9249091
130,영등포구 양평동4가,선유고등학교,37.53390162,126.8948507
131,은평구 신사동,숭실고등학교,37.59327482,126.9024039
132,용산구 용산동2가,용산고등학교,37.54480263,126.981731
133,용산구 용산동2가,보성여자고등학교,37.54308154,126.9842842
134,동작구 대방동,성남고등학교,37.50528157,126.9266153
135,종로구 행촌동,대신고등학교,37.57312377,126.9612546
136,강동구 둔촌동,동북고등학교,37.52024061,127.1394507
137,도봉구 창1동,창동고등학교,37.65103577,127.0388191
138,은평구 갈현동,선정고등학교,37.61870451,126.9090316
139,강서구 가양동,세현고등학교,37.56043066,126.8636211
140,송파구 삼전동,배명고등학교,37.4976895,127.0958118
141,마포구 상암동,상암고등학교,37.581383,126.8833945
142,강동구 명일동,명일여자고등학교,37.54977633,127.1495815
143,성북구 안암동2가,용문고등학교,37.58869033,127.0246608
144,광진구 화양동,건국대학교사범대학부속고등학교,37.53918267,127.0747119
145,영등포구 여의도동,여의도고등학교,37.52505101,126.9342192
146,서초구 양재동,언남고등학교,37.47233002,127.0430052
147,강서구 내발산동,덕원예술고등학교,37.54862258,126.8290245
148,용산구 청파동3가,신광여자고등학교,37.54289988,126.9694475
149,강남구 압구정동,압구정고등학교,37.53113395,127.0327116
150,송파구 방이동,방산고등학교,37.508313,127.1204696
151,관악구 봉천동,서울미술고등학교,37.47669631,126.9667485
152,노원구 상계동,노원고등학교,37.66180319,127.0540195
153,종로구 청운동,경복고등학교,37.58594567,126.9715109
154,노원구 상계동,상계고등학교,37.65272468,127.0554534
155,성북구 정릉동,고려대학교사범대학부속고등학교,37.60783857,127.0028302
156,강북구 수유동,혜화여자고등학교,37.63130842,127.013212
157,송파구 오금동,오금고등학교,37.50453217,127.128969
158,강남구 수서동,서울세종고등학교,37.49038935,127.1027968
159,금천구 시흥동,문일고등학교,37.44891526,126.8987207
160,노원구 중계본동,불암고등학교,37.64915853,127.0803058
161,서초구 서초동,서초고등학교,37.48961169,127.0053783
162,서대문구 충정로2가,인창고등학교,37.56488513,126.9640232
163,강동구 천호동,성덕고등학교,37.54996367,127.1419039
164,양천구 신월동,광영여자고등학교,37.5371981,126.823246
165,강서구 등촌2동,대일고등학교,37.5394887,126.8634031
166,성동구 성수동1가,경일고등학교,37.54382982,127.0478683
167,영등포구 양평동2가,관악고등학교,37.52179166,126.8829236
168,광진구 자양동,광양고등학교,37.52937892,127.0851823
169,송파구 가락동,가락고등학교,37.50107579,127.1164258
170,노원구 중계동,상명고등학교,37.64954781,127.0680416
171,구로구 구로1동,구일고등학교,37.49350529,126.8746185
172,중랑구 묵동,태릉고등학교,37.61916383,127.0855576
173,마포구 연남동,경성고등학교,37.56351064,126.9191663
174,강서구 내발산동,수명고등학교,37.54976186,126.8247663
175,관악구 봉천동,영락고등학교,37.47654259,126.9454164
176,노원구 상계동,청원고등학교,37.66525155,127.0625329
177,강동구 상일동,강동고등학교,37.54991665,127.1606683
178,종로구 혜화동,경신고등학교,37.592226,126.999531
179,성북구 성북동,홍익대학교사범대학부속고등학교,37.59366662,127.002805
180,송파구 신천동,잠실고등학교,37.52293043,127.106515
181,중구 신당동,성동고등학교,37.564116,127.0223892
182,강동구 고덕동,광문고등학교,37.56046181,127.1585463
183,도봉구 도봉동,도봉고등학교,,
184,송파구 문정동,문정고등학교,37.4851785,127.1266921
185,노원구 월계동,월계고등학교,37.63173301,127.0487159
186,중랑구 망우동,송곡여자고등학교,37.60668904,127.1051455
187,마포구 신수동,광성고등학교,37.54869756,126.9359696
188,서대문구 홍은3동,명지고등학교,37.58491135,126.9270902
189,강북구 미아동,영훈고등학교,37.61468187,127.0280933
190,도봉구 쌍문동,효문고등학교,37.65269871,127.0184005
191,노원구 상계동,수락고등학교,37.682932,127.053571
192,관악구 신림9동,삼성고등학교,37.46913998,126.943644
193,강서구 내발산동,화곡고등학교,37.54793611,126.8315357
194,광진구 자양동,자양고등학교,37.53607797,127.0733395
195,영등포구 신길동,대영고등학교,37.50366109,126.9058657
196,도봉구 도봉동,누원고등학교,37.68556896,127.0499327
197,은평구 진관동,진관고등학교,37.64333857,126.9243825
198,송파구 장지동,문현고등학교,37.48131355,127.1287623
199,강동구 강일동,강일고등학교,37.5638281,127.1779035
200,양천구 신월동,광영고등학교,37.5371981,126.8232759
201,중랑구 중화동,중화고등학교,37.60481461,127.0836541
202,동작구 사당동,동작고등학교,37.48260194,126.9650863
203,구로구 고척동,고척고등학교,37.50804938,126.8498691
204,송파구 잠실동,잠일고등학교,37.514521,127.0825552
205,구로구 구로동,구로고등학교,37.49884008,126.8903092
206,성동구 성수동1가,성수고등학교,37.54734181,127.0382534
207,구로구 고척동,경인고등학교,37.49599268,126.8654289
208,동작구 대방동,영등포고등학교,37.5080846,126.9331435
209,성북구 석관동,석관고등학교,37.60958929,127.0667176
210,관악구 봉천동,인헌고등학교,37.47231073,126.9704851
211,중랑구 망우본동,송곡고등학교,37.60584544,127.1064637
212,광진구 중곡4동,대원고등학교,37.56249279,127.0894374
213,용산구 이촌동,중경고등학교,37.5176804,126.9756383
214,성북구 삼선동3가,경동고등학교,37.58669797,127.0163213
215,관악구 봉천동,당곡고등학교,37.49176034,126.9342464
216,은평구 구산동,은평고등학교,37.60984462,126.905737
217,동대문구 휘경동,휘봉고등학교,37.586477,127.068852
218,강서구 방화동,공항고등학교,37.57046109,126.8185198
219,강동구 둔촌동,둔촌고등학교,37.53143258,127.1438087
220,도봉구 창동,자운고등학교,37.659021,127.050676
221,강북구 미아동,삼각산고등학교,37.61628573,127.020133
222,은평구 응암동,충암고등학교,37.58464029,126.9218095
223,동대문구 청량리1동,청량고등학교,37.588886,127.051311
224,중랑구 상봉동,신현고등학교,37.60524904,127.0929499
225,금천구 독산동,독산고등학교,37.47621872,126.910973
226,중랑구 면목동,면목고등학교,37.58466341,127.0972706
227,관악구 신림동,신림고등학교,37.47921049,126.9169672
228,은평구 진관동,신도고등학교,37.62913251,126.9187486
229,강북구 미아동,미양고등학교,,
230,서대문구 북가좌동,가재울고등학교,37.57444587,126.9094148
231,금천구 시흥동,금천고등학교,37.444807,126.9049018
232,강서구 등촌동,등촌고등학교,37.56294522,126.8450461
233,강동구 암사동,선사고등학교,37.55631588,127.1357756
234,영등포구 신길동,영신고등학교,37.49810094,126.909739
235,양천구 신정동,신서고등학교,37.52391432,126.8602096
236,구로구 궁동,서울공연예술고등학교,37.49993066,126.8326087
237,강서구 화곡동,한광고등학교,37.53884371,126.857922
